rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
19,18055,Dak Prescott,DAL,QB,2,NO,23.3,35.0,66.6,245.0,7.0,1.6,0.8,93.2,2.9,12.3,4.2,0.1,16.0
20,19790,Baker Mayfield,TB,QB,2,DET,21.4,33.5,63.9,239.8,7.2,1.6,0.7,90.3,3.1,11.1,3.6,0.1,15.9
21,14252,Kirk Cousins,ATL,QB,2,PHI,21.6,33.5,64.5,248.4,7.4,1.6,0.6,93.8,2.0,6.2,3.1,0.1,15.8
22,23241,Brock Purdy,SF,QB,2,MIN,19.9,31.1,64.0,235.7,7.6,1.6,0.7,95.6,2.4,8.8,3.7,0.1,15.5
23,22492,Justin Fields,PIT,QB,2,DEN,15.0,29.8,50.3,176.2,5.9,1.0,0.7,65.4,7.6,41.8,5.5,0.4,15.4
24,20841,Daniel Jones,NYG,QB,2,WAS,21.1,32.2,65.5,214.2,6.7,1.1,0.7,82.0,5.9,27.1,4.6,0.2,15.1
25,2593,Aaron Rodgers,NYJ,QB,2,TEN,21.6,34.0,63.5,229.7,6.8,1.4,0.5,94.0,2.1,7.6,3.6,0.1,14.8
26,23270,Will Levis,TEN,QB,2,NYJ,19.6,32.2,60.9,225.0,7.0,1.3,0.7,80.9,3.6,13.2,3.7,0.1,14.3
27,19812,Sam Darnold,MIN,QB,2,SF,20.0,34.3,58.3,226.8,6.6,1.3,0.9,76.5,3.1,12.1,3.9,0.2,14.3
28,25069,Bo Nix,DEN,QB,2,PIT,19.3,31.3,61.7,204.6,6.5,1.1,0.7,78.0,4.7,19.9,4.2,0.2,14.0
29,16311,Derek Carr,NO,QB,2,DAL,21.8,33.7,64.7,231.3,6.9,1.5,0.7,91.7,1.5,4.5,3.0,0.0,13.9
30,23132,Bryce Young,CAR,QB,2,LAC,19.8,33.1,59.8,210.1,6.3,1.2,0.7,76.6,2.7,13.7,5.1,0.1,13.4
31,20880,Gardner Minshew II,LV,QB,2,BAL,19.6,31.5,62.2,215.3,6.8,1.2,0.7,79.6,2.8,9.5,3.4,0.1,13.2
32,18018,Jacoby Brissett,NE,QB,2,SEA,19.1,32.0,59.7,217.7,6.8,1.0,0.7,77.3,3.2,13.1,4.1,0.1,12.6
33,19238,Taysom Hill,NO,QB,2,DAL,0.0,0.0,,0.0,,0.0,0.0,0.0,4.1,20.3,5.0,0.2,6.8
34,22497,Ian Book,KC,QB,2,CIN,0.9,1.6,59.9,10.6,6.7,0.1,0.0,66.7,0.3,1.4,4.7,0.0,0.9
35,611,Joe Flacco,IND,QB,2,GB,0.5,2.0,25.0,10.8,5.4,0.1,0.0,50.0,0.2,0.3,1.5,0.0,0.9
36,23185,Sam Howell,SEA,QB,2,NE,0.5,1.4,35.7,7.0,5.0,0.1,0.0,56.2,0.1,0.7,7.0,0.0,0.8
37,21046,Jake Browning,CIN,QB,2,KC,0.6,1.3,46.2,6.4,4.9,0.1,0.0,91.7,0.2,0.8,4.0,0.0,0.7
38,22496,Mac Jones,JAC,QB,2,CLE,0.6,1.6,37.5,6.8,4.2,0.1,0.0,58.3,0.1,0.3,3.0,0.0,0.7
39,24350,Aidan O'Connell,LV,QB,2,BAL,1.2,2.0,60.0,9.7,4.8,0.1,0.1,64.6,0.1,0.0,0.0,0.0,0.6
40,24225,Nathan Rourke,ATL,QB,2,PHI,0.6,0.9,,7.3,,0.1,0.0,95.8,0.1,0.6,,0.0,0.6
41,23118,Malik Willis,TEN,QB,2,NYJ,0.3,0.6,60.3,7.7,13.3,0.0,0.0,60.4,0.1,1.2,11.1,0.0,0.5
42,18811,Mitchell Trubisky,BUF,QB,2,MIA,0.6,1.4,42.9,6.6,4.7,0.1,0.1,95.8,0.2,0.3,1.5,0.0,0.5
43,23118,Malik Willis,GB,QB,2,IND,0.0,0.0,,6.1,,0.0,0.0,0.0,0.2,1.1,5.5,0.0,0.3
44,19330,Nick Mullens,MIN,QB,2,SF,0.6,1.2,50.0,6.3,5.2,0.0,0.0,91.7,0.1,0.4,4.0,0.0,0.3
45,12831,Tyrod Taylor,NYJ,QB,2,TEN,0.6,1.1,54.5,4.6,4.2,0.0,0.0,87.5,0.2,1.0,5.0,0.0,0.3
46,24168,Tyson Bagent,CHI,QB,2,HOU,0.5,1.3,38.5,5.2,4.0,0.0,0.0,47.9,0.2,0.6,3.0,0.0,0.3
47,22505,Davis Mills,HOU,QB,2,CHI,0.6,1.1,54.5,5.5,5.0,0.0,0.0,91.7,0.1,0.4,4.0,0.0,0.3
48,22501,Kenny Pickett,PHI,QB,2,ATL,0.5,1.1,45.5,5.3,4.8,0.0,0.0,47.9,0.2,0.3,1.5,0.0,0.2
49,20954,Jarrett Stidham,DEN,QB,2,PIT,0.0,0.0,,3.9,,0.0,0.0,0.0,0.1,0.5,5.0,0.0,0.2
50,12841,Andy Dalton,CAR,QB,2,LAC,0.0,0.0,,3.9,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.2
51,24170,Clayton Tune,ARI,QB,2,LA,0.0,0.0,,2.1,,0.0,0.0,0.0,0.2,0.6,3.0,0.0,0.1
52,23249,Jake Haener,NO,QB,2,DAL,0.0,0.0,,2.7,,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.1
53,23242,Michael Penix Jr.,ATL,QB,2,PHI,0.0,0.0,,2.2,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.1
54,19461,Cooper Rush,DAL,QB,2,NO,0.0,0.0,,2.9,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1
55,20859,Drew Lock,NYG,QB,2,WAS,0.0,0.0,,2.1,,0.0,0.0,0.0,0.1,0.4,4.0,0.0,0.1
56,23477,Skylar Thompson,MIA,QB,2,BUF,0.0,0.0,,2.4,,0.0,0.0,0.0,0.2,0.1,0.5,0.0,0.1
57,17179,Taylor Heinicke,ATL,QB,2,PHI,0.0,0.0,,2.3,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.1
58,24958,Drake Maye,NE,QB,2,SEA,0.0,0.0,,2.1,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.1
59,6489,Josh Johnson,BAL,QB,2,LV,0.0,0.0,,1.6,,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.1
60,17920,Carson Wentz,KC,QB,2,CIN,0.0,0.0,,1.4,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.1
61,18123,Jeff Driskel,WAS,QB,2,NYG,0.0,0.0,,1.0,,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.1
62,19850,Mason Rudolph,TEN,QB,2,NYJ,0.0,0.0,,1.1,,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.1
63,20953,Easton Stick,LAC,QB,2,CAR,0.0,0.0,,1.1,,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.1
64,22494,Kyle Trask,TB,QB,2,DET,0.0,0.0,,1.1,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
65,20703,John Wolford,TB,QB,2,DET,0.2,0.3,58.6,2.2,7.7,0.0,0.1,0.0,0.1,0.4,4.1,0.0,0.0
66,24175,Max Duggan,LAC,QB,2,CAR,0.0,0.0,,0.2,,0.0,0.0,0.0,0.0,0.1,,0.0,0.0
67,23647,Anthony Brown,BUF,QB,2,MIA,0.0,0.0,50.0,0.3,6.8,0.0,0.0,0.0,0.0,0.1,,0.0,0.0
68,23647,Anthony Brown,LV,QB,2,BAL,0.0,0.0,,0.2,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
69,17179,Taylor Heinicke,LAC,QB,2,CAR,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
70,25353,Jack Plummer,CAR,QB,2,LAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
71,20507,Luis Perez,LAC,QB,2,CAR,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
72,21814,Jake Luton,CAR,QB,2,LAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
73,25506,Casey Bauman,LAC,QB,2,CAR,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
74,20779,Will Grier,PHI,QB,2,ATL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
75,19029,Nathan Peterman,ATL,QB,2,PHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
76,25590,John Paddock,ATL,QB,2,PHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
77,20703,John Wolford,CAR,QB,2,LAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
78,18118,Brandon Allen,SF,QB,2,MIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
79,24956,J.J. McCarthy,MIN,QB,2,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
80,24124,Tanner McKee,PHI,QB,2,ATL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
81,25358,Tanner Mordecai,SF,QB,2,MIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
82,24171,Jaren Hall,MIN,QB,2,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
83,23183,Matt Corral,MIN,QB,2,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
84,24140,Hendon Hooker,DET,QB,2,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
85,20929,Brett Rypien,MIN,QB,2,SF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
86,19025,Joshua Dobbs,SF,QB,2,MIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
87,23267,Bailey Zappe,NE,QB,2,SEA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
88,19191,PJ Walker,SEA,QB,2,NE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
89,23230,Dorian Thompson-Robinson,CLE,QB,2,JAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
90,21810,Tyler Huntley,CLE,QB,2,JAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
91,23476,E.J. Perry,JAC,QB,2,CLE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
92,24171,Jaren Hall,SEA,QB,2,NE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
93,25025,Joe Milton III,NE,QB,2,SEA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
94,25311,John Rhys Plumlee,JAC,QB,2,CLE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
95,25116,Jordan Travis,NYJ,QB,2,TEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
96,25706,Andrew Peasley,NYJ,QB,2,TEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
97,24507,Adrian Martinez,NYJ,QB,2,TEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
98,16762,Jameis Winston,CLE,QB,2,JAC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
99,18973,C.J. Beathard,JAC,QB,2,CLE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
100,24476,Sean Clifford,GB,QB,2,IND,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
101,16763,Marcus Mariota,WAS,QB,2,NYG,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
102,24625,Tommy Devito,NYG,QB,2,WAS,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
103,20874,Trace McSorley,WAS,QB,2,NYG,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
104,25043,Jason Bean,IND,QB,2,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
105,21815,Sam Ehlinger,IND,QB,2,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
106,25109,Sam Hartman,WAS,QB,2,NYG,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
107,24351,Stetson Bennett,LA,QB,2,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
108,24983,Michael Pratt,GB,QB,2,IND,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
109,22502,Desmond Ridder,ARI,QB,2,LA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
110,23182,Kedon Slovis,IND,QB,2,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
111,23186,Spencer Rattler,NO,QB,2,DAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
112,16041,Jimmy Garoppolo,LA,QB,2,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
113,24767,Dresser Winn,LA,QB,2,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
114,22493,Trey Lance,DAL,QB,2,NO,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
115,25311,John Rhys Plumlee,PIT,QB,2,DEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
116,24983,Michael Pratt,TB,QB,2,DET,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
117,21828,Jake Fromm,DET,QB,2,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
118,20053,Kyle Allen,PIT,QB,2,DEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
119,14536,Russell Wilson,PIT,QB,2,DEN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
120,22495,Zach Wilson,DEN,QB,2,PIT,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
121,23629,Chris Oladokun,KC,QB,2,CIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
122,18104,Nate Sudfeld,DET,QB,2,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
123,25494,Rocky Lombardi,CIN,QB,2,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
124,25372,Zack Annexstad,TB,QB,2,DET,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
125,20055,Logan Woodside,CIN,QB,2,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
126,23267,Bailey Zappe,KC,QB,2,CIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
127,15694,Case Keenum,HOU,QB,2,CHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
128,20283,Tim Boyle,HOU,QB,2,CHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
129,19972,Mike White,BUF,QB,2,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
130,20929,Brett Rypien,CHI,QB,2,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
131,21818,Shane Buechele,BUF,QB,2,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
132,23182,Kedon Slovis,HOU,QB,2,CHI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
133,25114,Austin Reed,CHI,QB,2,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
134,25111,Devin Leary,BAL,QB,2,LV,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
135,22146,Ben DiNucci,BUF,QB,2,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
136,21810,Tyler Huntley,BAL,QB,2,LV,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
137,23236,Emory Jones,BAL,QB,2,LV,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
138,19029,Nathan Peterman,LV,QB,2,BAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
139,20283,Tim Boyle,MIA,QB,2,BUF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
140,25044,Carter Bradley,LV,QB,2,BAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
